"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RITA ORA on the RED CARPET at THE OSCARS / THE ACADEMY AWARDS 

@RitaOra shines on the #Oscars2015… https://t.co/y5qEYkxOW5",FALSE,0,NA,2015-02-26 06:03:09,FALSE,NA,"570826379853484032",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kathyjeung",0,FALSE,FALSE,NA,NA
"RT @BlueNationRev: Hell yes Patricia Arquette! It's time for wage equality #feminism #Oscars2015 #Oscars http://t.co/TaReGGU1ir",FALSE,0,NA,2015-02-26 06:02:34,FALSE,NA,"570826236345217025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaitlynshae33",586,TRUE,FALSE,NA,NA
"RT @NtsakoBaloyi: RT @ali_naka: ""There are more black men under correctional control today than were under slavery in 1850."" John Legend  #…",FALSE,0,NA,2015-02-26 06:02:25,FALSE,NA,"570826198202384384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mfullard2",1,TRUE,FALSE,NA,NA
"RT @studioexec1: ""How you doin?'"" #Oscars2015 http://t.co/vZkJwqo4Np",FALSE,0,NA,2015-02-26 06:02:14,FALSE,NA,"570826150425042945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stalkerneck",557,TRUE,FALSE,NA,NA
"RT @_Snape_: This potato looks like Benedict Cumberbatch. #Oscars2015 http://t.co/UW3bCzYXtP",FALSE,0,NA,2015-02-26 06:02:11,FALSE,NA,"570826137649041408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yagurlcara",1497,TRUE,FALSE,NA,NA
"Michael Keaton putting his speech back in his pocket after realizing he lost #Oscars #oscars2015 https://t.co/GyYaXyRoE0",FALSE,0,NA,2015-02-26 06:02:09,FALSE,NA,"570826129990266880",NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","OyexVille",0,FALSE,FALSE,NA,NA
"Worth a watch: US film director @leedanielsent frank post #Oscars2015 interview w/ @donlemon http://t.co/u6OxKcYS9q #freedom #creativity",FALSE,0,NA,2015-02-26 06:01:49,FALSE,NA,"570826044271300608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RCHanoi",0,FALSE,FALSE,NA,NA
"RT @THR: #Oscars2015: What the Nominees Are Doing Next http://t.co/7pjmGZzQlq http://t.co/5oVMJKnoMW",FALSE,0,NA,2015-02-26 06:01:37,FALSE,NA,"570825993780371456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamAbreup",73,TRUE,FALSE,NA,NA
"RT @SexFactsOfLife: The ""best dressed"" award tonight definitely goes to Neil Patrick Harris. #Oscars2015 @ActuallyNPH http://t.co/D4ISCfKXXz",FALSE,0,NA,2015-02-26 06:01:20,FALSE,NA,"570825923303333889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarieGbay",589,TRUE,FALSE,NA,NA
"RT @DuncanWhitehead: http://t.co/Jzqn3l0L4h  Not every Actor wins an Oscar.....just the lucky ones....#Oscars2015 #Oscars #OscarsCountdown …",FALSE,0,NA,2015-02-26 06:01:14,FALSE,NA,"570825899999760386",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","caohongquang",1317,TRUE,FALSE,NA,NA
"#Oscars2015 John Travolta, like the creepy uncle, no one wants to be around.",FALSE,0,NA,2015-02-26 06:01:05,FALSE,NA,"570825862259601408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1234flyingninja",0,FALSE,FALSE,NA,NA
"Awwwww. Are they #gay couple? #Oscars2015 http://t.co/IOdUSr93RR",FALSE,0,NA,2015-02-26 06:00:57,FALSE,NA,"570825827954196480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZhangMino",0,FALSE,FALSE,NA,NA
"RT @SOPHIAWEBSTER: SPOTTED! <ed><U+00A0><U+00BD><ed><U+00B2><U+008E><ed><U+00A0><U+00BD><ed><U+00B2><U+008E><ed><U+00A0><U+00BD><ed><U+00B2><U+008E> @KellyOsbourne wearing Rosalind Crystal heels from my red carpet collection to the #Oscars <ed><U+00A0><U+00BC><ed><U+00BC><U+009F> #Oscars2015 ht…",FALSE,0,NA,2015-02-26 06:00:49,FALSE,NA,"570825795628888064",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","AureliaLouw",7,TRUE,FALSE,NA,NA
"RT @JustJared: LOL - @joshduhamel imitated John Travolta touching Idina Menzel's face at the #Oscars2015: http://t.co/R4apo1n6nx http://t.c…",FALSE,0,NA,2015-02-26 06:00:40,FALSE,NA,"570825755833327616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamAbreup",18,TRUE,FALSE,NA,NA
"RT @USFWSHQ: The Imitation Game means something completely different to this red phase Eastern screech owl #oscars2015 #owlscars http://t.c…",FALSE,0,NA,2015-02-26 06:00:35,FALSE,NA,"570825736925290496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TKKaoru",149,TRUE,FALSE,NA,NA
"#Oscars2015 got tears in my eyes #so emotional .@ladygaga just remind me the reason why I #love her that much <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>",FALSE,0,NA,2015-02-26 06:00:30,FALSE,NA,"570825715781730305",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","thuygiangngo11",0,FALSE,FALSE,NA,NA
"The strangest #Oscars2015 moments we've all witnessed: http://t.co/fTOERjMztX http://t.co/BWHO9pTwGJ",FALSE,1,NA,2015-02-26 06:00:22,FALSE,NA,"570825680834818048",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","POPSUGAR",0,FALSE,FALSE,NA,NA
"#EddieRedmayne u deserved t #Oscars2015 #TheoryofEverything <ed><U+00A0><U+00BD><ed><U+00B1><U+008F> U gave t soul fr t character n makin every1 who watchin 2 feel t heat.",FALSE,0,NA,2015-02-26 05:59:57,FALSE,NA,"570825574802812928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prem_born2rule",0,FALSE,FALSE,NA,NA
"Aunque les duela: don't call me gringo your fucking beaner #Oscars2015 #AmericanSniper #BirdmanMovie @realDonaldTrump #inmigration",FALSE,0,NA,2015-02-26 05:59:48,FALSE,NA,"570825537540657152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mgdsofia",0,FALSE,FALSE,"-103.38568641","20.67971335"
"RT @VanityFair: Our favorite #Oscars2015 couples. @JLo and Meryl 4ever http://t.co/2aok1vYdKe http://t.co/sDATprP4Sp",FALSE,0,NA,2015-02-26 05:59:48,FALSE,NA,"570825536777248769",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","lorrie_mia",154,TRUE,FALSE,NA,NA
"RT @JustJared: Robert Pattinson says goodbye to Los Angeles after the #Oscars2015 - see pics of him at LAX: http://t.co/MB3oafpM46 http://t…",FALSE,0,NA,2015-02-26 05:59:34,FALSE,NA,"570825480368205824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamAbreup",79,TRUE,FALSE,NA,NA
"RT @adultswim: You want visual effects? #Oscars2015 #Thievery http://t.co/Qp9tdtEsSU",FALSE,0,NA,2015-02-26 05:58:59,FALSE,NA,"570825331885645824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iron4679",376,TRUE,FALSE,NA,NA
"RT @NASA: .@Interstellar won #Oscars2015 for visual effects. Here's a visual of Earth. No effects. https://t.co/5V55bJ2e5D http://t.co/ekQO…",FALSE,0,NA,2015-02-26 05:58:52,FALSE,NA,"570825303372603395",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YaraaaKA",16903,TRUE,FALSE,NA,NA
"RT @adultswim: Best animated short? Are you serious? #Oscars2015 #smh http://t.co/hkbkBbJxHH",FALSE,0,NA,2015-02-26 05:58:50,FALSE,NA,"570825296951308288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iron4679",286,TRUE,FALSE,NA,NA
"#oscars2015 #oscars youtube video --&gt; https://t.co/aMG9ZBdbyz",FALSE,0,NA,2015-02-26 05:58:13,FALSE,NA,"570825140877066240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedRozesTV",0,FALSE,FALSE,NA,NA
"My best dressed at the #Oscars2015 are: Dakota Johnson, Gwyneth Paltrow, Emma Stone, Rosamund Pike and Felicity Jones :)",FALSE,0,NA,2015-02-26 05:57:39,FALSE,NA,"570824996664160256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MsAle28",0,FALSE,FALSE,NA,NA
"Curious as to what #benaffleck was whispering to #JenniferLopez at the #Oscars2015",FALSE,0,NA,2015-02-26 05:57:32,FALSE,NA,"570824969464250368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimmieBrokerBae",0,FALSE,FALSE,NA,NA
"RT @White_Glo: It's #WinWhiteGloWednesday time! Get pearly whites like this year's #Oscars2015 winners. Follow&amp;RT to win a sample! http://t…",FALSE,0,NA,2015-02-26 05:57:15,FALSE,NA,"570824896948924416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamAbreup",426,TRUE,FALSE,NA,NA
"RT @TheEllenShow: .@LadyGaga made me want to climb a mountain. She also made me want to ford every stream and I don't even know what that m…",FALSE,0,NA,2015-02-26 05:57:14,FALSE,NA,"570824893337604096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samanthaaa92",16289,TRUE,FALSE,NA,NA
"RT @JorgeFl59130654: I was naked in the #Oscars2015 <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> http://t.co/YNrSWzTQr2",FALSE,0,NA,2015-02-26 05:57:07,FALSE,NA,"570824864594051073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamAbreup",1,TRUE,FALSE,NA,NA
"The Best In Business #Oscars2015 Go To http://t.co/TBBD9fDEAA For Stellar Performance and Being A Cut Above The Rest. Order Now!",FALSE,0,NA,2015-02-26 05:56:59,FALSE,NA,"570824830070747136",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","DDMobileUnlocks",0,FALSE,FALSE,NA,NA
"RT @shondarhimes: That was not okay.  I mean, Idina is there.  She is right there.  RIGHT THERE.  And oh dear God, Julie had to hear that. …",FALSE,0,NA,2015-02-26 05:56:41,FALSE,NA,"570824754178891776",NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","JGDezigns",537,TRUE,FALSE,NA,NA
"RT @_Snape_: Batman and Harry Potter should be friends. Their parents are dead. #Oscars2015",FALSE,0,NA,2015-02-26 05:56:36,FALSE,NA,"570824732133748736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LForLatino",1060,TRUE,FALSE,NA,NA
"Only Americans allowed 2 win? 10 Ignorant Tweets About A Mexican Winning An Oscar http://t.co/QQneudUnyy via @theflama #shameful #Oscars2015",FALSE,0,NA,2015-02-26 05:56:31,FALSE,NA,"570824713808670720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lesleyotoole",0,FALSE,FALSE,NA,NA
"RT @NASA: .@Interstellar won #Oscars2015 for visual effects. Here's a visual of Earth. No effects. https://t.co/5V55bJ2e5D http://t.co/ekQO…",FALSE,0,NA,2015-02-26 05:56:16,FALSE,NA,"570824650940223488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wissalabdulaziz",16903,TRUE,FALSE,NA,NA
"RT @AmznMovieRevws: Birdman. #Oscars2015 http://t.co/DsVJ9gzf5p",FALSE,0,NA,2015-02-26 05:56:00,FALSE,NA,"570824582464081920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KorbKevin",404,TRUE,FALSE,NA,NA
"RT @solangeknowles: U guys shut it down every damn day<ed><U+00A0><U+00BC><ed><U+00BD><U+0084><ed><U+00A0><U+00BD><ed><U+00BA><U+00A9><ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> 
Thanks boo's:)
“@tmagazine: .@solangeknowles just shut this down #Oscars2015 htt…",FALSE,0,NA,2015-02-26 05:55:19,FALSE,NA,"570824412066402305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AforAlex_",177,TRUE,FALSE,NA,NA
"I was naked in the #Oscars2015 <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> http://t.co/YNrSWzTQr2",FALSE,1,NA,2015-02-26 05:54:17,FALSE,NA,"570824151780306944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JorgeFl59130654",1,FALSE,FALSE,"0","0"
"#Oscars2015  is incredible .@ladygaga is queen of Pop.she's just killed it <ed><U+00A0><U+00BC><ed><U+00BE><U+00BC><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> http://t.co/QqrMkqqFWJ",FALSE,0,NA,2015-02-26 05:54:17,FALSE,NA,"570824150840844288",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","thuygiangngo11",0,FALSE,FALSE,NA,NA
"RT @TheEllenShow: .@LadyGaga made me want to climb a mountain. She also made me want to ford every stream and I don't even know what that m…",FALSE,0,NA,2015-02-26 05:53:32,FALSE,NA,"570823961786785792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdgarMirabal",16289,TRUE,FALSE,NA,NA
"RT @30STMVOTE: Looking gooood. RT @_ManiacMessiah ""I still can't breathe...@JaredLeto

#IntenseStaredown #Oscars2015 http://t.co/bsqW94Lk86""",FALSE,0,NA,2015-02-26 05:53:22,FALSE,NA,"570823920129077249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JennyTsak",13,TRUE,FALSE,NA,NA
"#Oscars2015 ...stop dissing @ActuallyNPH and @SeanPenn and... Just think good towards everybody!!",FALSE,0,NA,2015-02-26 05:52:48,FALSE,NA,"570823777010864128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iStephaniesmith",0,FALSE,FALSE,NA,NA
"RT @TheView: Who wore it best? Big vs. Little: The ultimate fashion face-off for #Oscars2015! http://t.co/rbxKqnuDtz #MiniView http://t.co/…",FALSE,0,NA,2015-02-26 05:52:45,FALSE,NA,"570823763270316032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Swervingxlanes",14,TRUE,FALSE,NA,NA
"RT @CanaDog_Supply: We got to meet the #flawless Amanda Adrienne, who's jealous? #Oscars2015 #ecoluxelounge @producerdeb http://t.co/vA8g8c…",FALSE,0,NA,2015-02-26 05:52:33,FALSE,NA,"570823713379131392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SaveLAFilm",3,TRUE,FALSE,NA,NA
"RT @EmWatson: So thrilled for Eddie!!!!!! #Oscars2015  #TheoryofEverything",FALSE,0,NA,2015-02-26 05:52:04,FALSE,NA,"570823592344199170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diegosoto098",12564,TRUE,FALSE,NA,NA
"RT @KaitlynDever: Eddie redmayne #Oscars2015",FALSE,0,NA,2015-02-26 05:51:47,FALSE,NA,"570823520986521600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YOITSROB",7,TRUE,FALSE,NA,NA
"RT @TanishaaMukerji: Watched the amazing # whiplash last night.What a film! Such a simple subject so enhanced by writing &amp; performance. #Os…",FALSE,0,NA,2015-02-26 05:51:41,FALSE,NA,"570823496839745537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tanisha_FanClub",3,TRUE,FALSE,NA,NA
"RT @TheEllenShow: .@LadyGaga made me want to climb a mountain. She also made me want to ford every stream and I don't even know what that m…",FALSE,0,NA,2015-02-26 05:51:41,FALSE,NA,"570823496034607104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","em_urie",16289,TRUE,FALSE,NA,NA
"RT @TheEllenShow: .@LadyGaga made me want to climb a mountain. She also made me want to ford every stream and I don't even know what that m…",FALSE,0,NA,2015-02-26 05:51:31,FALSE,NA,"570823455379038208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katsizzzle",16289,TRUE,FALSE,NA,NA
"RT @sexikrazii: Lady Gaga....stunning!!! #Oscars2015 #RedCarpet",FALSE,0,NA,2015-02-26 05:50:59,FALSE,NA,"570823318372093952",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","marshallstackz",2,TRUE,FALSE,NA,NA
"RT @THR: #Oscars2015: 14 #BTS moments you didn't see on TV (photos) http://t.co/KqQZEVzOX3 http://t.co/8zHvdzRecA",FALSE,0,NA,2015-02-26 05:50:45,FALSE,NA,"570823262864875523",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","simonovalya",87,TRUE,FALSE,NA,NA
"RT @THR: ""We are with you, we see you, we love you, and march on."" - John Legend's #Oscars2015 speech http://t.co/vQ2rijDhti http://t.co/hr…",FALSE,0,NA,2015-02-26 05:50:40,FALSE,NA,"570823240760877056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spykatcha",2348,TRUE,FALSE,NA,NA
"RT @EmWatson: So thrilled for Eddie!!!!!! #Oscars2015  #TheoryofEverything",FALSE,0,NA,2015-02-26 05:50:40,FALSE,NA,"570823238349135872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariamduque7",12564,TRUE,FALSE,NA,NA
"RT @SayNoToSuicide4: ""Stay weird and stay different"" #Oscars2015 http://t.co/1P4Ig7lYiU",FALSE,0,NA,2015-02-26 05:50:39,FALSE,NA,"570823238034411520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rainbowpoplarry",92,TRUE,FALSE,NA,NA
"RT @solangeknowles: U guys shut it down every damn day<ed><U+00A0><U+00BC><ed><U+00BD><U+0084><ed><U+00A0><U+00BD><ed><U+00BA><U+00A9><ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> 
Thanks boo's:)
“@tmagazine: .@solangeknowles just shut this down #Oscars2015 htt…",FALSE,0,NA,2015-02-26 05:49:58,FALSE,NA,"570823063878508544",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","blackbuggaman",177,TRUE,FALSE,NA,NA
"@Variety well deserved #Oscars2015 <ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",FALSE,0,"Variety",2015-02-26 05:49:56,FALSE,"570818088788078592","570823057331380225","17525171","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexRockMama",0,FALSE,FALSE,NA,NA
"RT @NASA: .@Interstellar won #Oscars2015 for visual effects. Here's a visual of Earth. No effects. https://t.co/5V55bJ2e5D http://t.co/ekQO…",FALSE,0,NA,2015-02-26 05:48:35,FALSE,NA,"570822717156380675",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","next_joker",16903,TRUE,FALSE,NA,NA
"RT @CanaDog_Supply: We got to meet the #flawless Amanda Adrienne, who's jealous? #Oscars2015 #ecoluxelounge @producerdeb http://t.co/vA8g8c…",FALSE,0,NA,2015-02-26 05:48:35,FALSE,NA,"570822715466080256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GreenDogFilms",3,TRUE,FALSE,NA,NA
"RT @nobigotry: #Oscars2015 @act4america 

ISIS Burning Christians Alive. 
WHERE is the Outrage by American Muslims ????? http://t.co/NS3fnH…",FALSE,0,NA,2015-02-26 05:47:52,FALSE,NA,"570822537132838912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maca_13_9",3,TRUE,FALSE,NA,NA
